balls_faced,runs,4s,6s,1s,2s,dismissals,0s,balls_bowled,runs_conceded,4s_conceded,6s_conceded,1s_conceded,2s_conceded,0s_conceded,wickets_taken,legbyes_conceded,wides_conceded,byes_conceded,noballs_conceded,catches_taken,run_out_taken,bowled_taken,stumped_taken,lbw_taken,matches_played
25128,31734,2788,1269,9399,1623,1089,8663,24851,33393,2714,1157,9168,1603,8848,1290,371,782,49,81,823,109,197,34,83,208
9034,10885,957,400,3387,563,484,3227,9039,11463,1013,405,3181,579,3306,446,166,280,31,49,271,38,82,17,26,75
7587,9691,912,347,2956,458,372,2519,7730,10145,847,396,3049,432,2627,405,92,229,14,29,275,22,63,13,21,63
18786,23022,2156,801,7011,1176,952,6595,18725,24296,2180,870,6953,1139,6521,912,324,550,39,86,528,116,173,30,44,161
3566,4629,460,155,1360,233,188,1155,3545,4862,453,190,1354,285,1097,151,55,91,7,7,94,18,21,3,11,30
1971,2517,250,79,794,121,82,622,1907,2663,218,101,697,109,688,101,22,55,3,6,64,10,12,3,9,16
22646,28541,2626,1075,8296,1498,1158,7866,22483,30064,2733,1077,8195,1484,7686,1076,362,720,52,100,641,92,218,26,65,190
1582,1758,170,53,570,85,86,595,1614,1901,179,66,550,101,626,74,29,52,2,7,35,12,16,1,8,14
26192,32330,3021,1227,9545,1507,1318,9378,26355,34201,2945,1204,9906,1637,9255,1275,405,733,87,114,722,123,244,50,96,223
1840,2405,188,115,711,118,89,595,1843,2548,232,94,633,106,667,100,27,72,2,6,71,7,15,1,4,15
27826,34703,3156,1410,10030,1607,1383,9980,27854,36663,3086,1227,10288,1710,9936,1411,434,923,72,120,857,118,250,38,89,231
5443,6040,525,196,1992,351,298,2099,5457,6358,580,216,2139,341,1929,238,71,120,18,26,154,18,39,7,16,45
3388,4254,355,203,1233,177,180,1210,3292,4493,368,168,1188,218,1162,162,49,114,11,13,114,10,27,2,3,28
22777,28254,2637,1013,8229,1533,1147,8144,22865,29681,2593,1052,8285,1535,7937,1095,388,818,79,92,671,106,183,37,56,191
1900,2370,197,89,782,127,90,616,1928,2470,196,97,725,108,698,113,34,62,3,1,63,13,21,3,5,16
1580,1962,171,68,610,118,68,521,1615,2063,172,75,635,109,539,76,20,56,2,4,45,6,10,4,11,14
26512,33417,2945,1380,9701,1661,1304,9333,26712,35190,2970,1376,9908,1629,9275,1311,418,884,73,116,838,112,206,42,75,226
18196,22467,1971,780,7019,1307,863,6135,18139,23643,2006,889,6771,1138,6456,915,264,484,39,51,571,77,167,14,63,152
